Sample,assay,condition,replicate,OD_start_T1,OD_end_T1,time_T1,OD_start_T2,OD_end_T2,time_T2
S1,Avail,MTX,R1,0.15,2.14,32,0.15,2.64,47
S2,Avail,MTX,R2,0.15,2.19,32,0.15,2.37,47
S3,Avail,MTX,R3,0.15,2.76,32,0.15,2.07,47
S4,Avail,DMSO,R1,0.15,2.689499911,10,0.15,2.46,20
S5,Avail,DMSO,R2,0.15,2.690500077,10,0.15,2.04,20
S6,Avail,DMSO,R3,0.15,2.791999932,10,0.15,2.31,20
S7,PPI,DMSO,R1,0.15,2.504499909,10,0.15,2.83,20
S8,PPI,DMSO,R2,0.15,2.527500149,10,0.15,2.8,20
S9,PPI,DMSO,R3,0.15,2.531499919,10,0.15,2.86,20
S10,PPI,DMSO,R1,0.15,2.432499882,10,0.15,2.88,20
S11,PPI,DMSO,R2,0.15,2.446500119,10,0.15,2.89,20
S12,PPI,DMSO,R3,0.15,2.778500076,10,0.15,2.72,20
S13,PPI,DMSO,R1,0.15,2.356000002,10,0.15,2.76,20
S14,PPI,DMSO,R2,0.15,2.514999863,10,0.15,2.82,20
S15,PPI,DMSO,R3,0.15,2.401000019,10,0.15,2.72,20
S16,PPI,DMSO,R1,0.15,2.606000062,10,0.15,2.63,20
S17,PPI,DMSO,R2,0.15,2.593999859,10,0.15,2.83,20
S18,PPI,DMSO,R3,0.15,2.484999951,10,0.15,2.7,20
S10,PPI,MTX,R1,0.15,2.5,32,0.15,2.78,45.5
S11,PPI,MTX,R2,0.15,2.67,32,0.15,3.05,45.5
S12,PPI,MTX,R3,0.15,2.59,32,0.15,2.99,45.5
S13,PPI,MTX,R1,0.15,1.98850004,24,0.15,3.89,42
S14,PPI,MTX,R2,0.15,2.305999976,24,0.15,3.87,42
S15,PPI,MTX,R3,0.15,2.938000094,24,0.15,3.36,42
S16,PPI,MTX,R1,0.15,2.614499889,20,0.15,4.93,42
S17,PPI,MTX,R2,0.15,1.969499998,20,0.15,4.76,42
S18,PPI,MTX,R3,0.15,2.096500061,20,0.15,5.14,42
