assay,replicate,OD_start_T1,OD_end_T1,time_T1,OD_start_T2,OD_end_T2,time_T2
Avail,R1,0.1,2.572500128299,29,0.1,3.08050002902746,45
Avail,R2,0.1,2.26750003173947,29,0.1,3.31950005143881,45
Avail,R3,0.1,2.706,28,0.1,3.47899999469519,45
PPI,R1,0.1,2.30849996209145,28.5,0.1,4.4199999794364,45
PPI,R2,0.1,2.28450000286102,28.5,0.1,4.18049987405539,45
PPI,R3,0.1,2.615,28,0.1,4.34049990028143,45
